央视,#genre#
CCTV-1,http://cfss.cc/api/ysp/cctv1.m3u8
CCTV-1,http://tvpull.dxhmt.cn/tv/11481-4.m3u8
CCTV-1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-1,http://960.x3322.net:4000/udp/239.120.1.184:9160
CCTV-1,http://960.x3322.net:4000/udp/239.120.1.239:9400
CCTV-1,http://960.x3322.net:4000/udp/239.120.2.42:5141
CCTV-1,http://960.x3322.net:4000/udp/239.120.2.145:5141
CCTV-1,http://960.x3322.net:4000/udp/239.120.2.174:5141
CCTV-1,http://960.x3322.net:4000/udp/239.120.2.220:5141
CCTV-1,http://960.x3322.net:4000/udp/239.120.2.228:5141
CCTV-2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-2,http://960.x3322.net:4000/udp/239.120.2.43:5141
CCTV-3,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?&encrypt=
CCTV-3,http://960.x3322.net:4000/udp/239.120.2.32:5141
CCTV-4,http://cfss.cc/api/ysp/cctv4.m3u8
CCTV-4,http://960.x3322.net:4000/udp/239.120.2.33:5141
CCTV-4K,http://cfss.cc/api/ysp/cctv4k.m3u8
CCTV-5,http://cfss.cc/api/ysp/cctv5.m3u8
CCTV-5,http://960.x3322.net:4000/udp/239.120.2.34:5141
CCTV-5+,http://960.x3322.net:4000/udp/239.120.1.245:9428
CCTV-5+,http://960.x3322.net:4000/udp/239.120.2.59:5141
CCTV-6,http://hlsbkmgsplive.miguvideo.com/wd_r2/ocn/cctv6hd/3000/index.m3u8?&encrypt=
CCTV-6,http://960.x3322.net:4000/udp/239.120.2.38:5141
CCTV-7,http://cfss.cc/api/ysp/cctv7.m3u8
CCTV-7,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/57/index.m3u8?&encrypt=
CCTV-8,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV-8,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/1000/index.m3u8?&encrypt=
CCTV-9,http://960.x3322.net:4000/udp/239.120.1.227:9496
CCTV-9,http://960.x3322.net:4000/udp/239.120.2.91:5141
CCTV-10,http://960.x3322.net:4000/udp/239.120.1.250:9448
CCTV-10,http://960.x3322.net:4000/udp/239.120.2.92:5141
CCTV-11,http://960.x3322.net:4000/udp/239.120.1.163:9036
CCTV-11,http://960.x3322.net:4000/udp/239.120.2.100:5141
CCTV-12,http://960.x3322.net:4000/udp/239.120.1.230:9502
CCTV-12,http://960.x3322.net:4000/udp/239.120.2.101:5141
CCTV-13,http://960.x3322.net:4000/udp/239.120.1.165:9048
CCTV-13,http://960.x3322.net:4000/udp/239.120.2.102:5141
CCTV-14,http://960.x3322.net:4000/udp/239.120.1.193:8284
CCTV-14,http://960.x3322.net:4000/udp/239.120.2.103:5141
CCTV-15,http://960.x3322.net:4000/udp/239.120.1.167:9060
CCTV-15,http://960.x3322.net:4000/udp/239.120.2.104:5141
CCTV-16,http://960.x3322.net:4000/udp/239.120.1.252:9554
CCTV-16,http://960.x3322.net:4000/udp/239.120.2.105:5141
CCTV-17,http://960.x3322.net:4000/udp/239.120.1.68:8370
CCTV-17,http://960.x3322.net:4000/udp/239.120.2.106:5141
卫视,#genre#
东方卫视,https://epg.pw/stream/44b56b8b352bbf95b682eda2a49ba0332b91f78eb1072297dfbed375ee21366f.m3u8
东方卫视,https://epg.pw/stream/44b56b8b352bbf95b682eda2a49ba0332b91f78eb1072297dfbed375ee21366f.m3u8
湖南卫视,https://epg.pw/stream/31777c89494b865a9ecbb25be7c9f192cce41b1aec977a53e1cdf24ebe59f8b9.m3u8
湖南卫视,https://iptv.luas.edu.cn/liverespath/9b1ccba5a2c611bb5d7c96243695572090cca5fd/3777bfb47d-0-0-654e705fbb80feea4c6f5105072a6d33/index.m3u8
江苏卫视,http://cfss.cc/api/ysp/jsws.m3u8
江苏卫视,http://ve/1003_1.m3u8?key=txiptv
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江卫视,https://hw-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
北京卫视,http://cfss.cc/api/ysp/bjws.m3u8
北京卫视,https://epg.pw/stream/aea3401c86c9f423a2499a3672fc251cafff5f96a22a74754581ee7e3c100110.m3u8
黑龙江卫视,http://960.x3322.net:4000/udp/239.120.1.124:8802
黑龙江卫视,http://960.x3322.net:4000/udp/239.120.2.183:5141
广东卫视,http://960.x3322.net:4000/udp/239.120.1.126:8814
广东卫视,http://960.x3322.net:4000/udp/239.120.2.181:5141
湖北卫视,http://960.x3322.net:4000/udp/239.120.1.129:8832
湖北卫视,http://960.x3322.net:4000/udp/239.120.2.15:5141
湖北卫视,http://960.x3322.net:4000/udp/239.120.2.182:5141
四川卫视,http://960.x3322.net:4000/udp/239.120.1.147:8940
四川卫视,http://960.x3322.net:4000/udp/239.120.2.2:5141
重庆卫视,http://960.x3322.net:4000/udp/239.120.1.146:8934
重庆卫视,http://960.x3322.net:4000/udp/239.120.2.185:5141
河南卫视,http://960.x3322.net:4000/udp/239.120.1.148:8946
河南卫视,http://960.x3322.net:4000/udp/239.120.2.180:5141
吉林卫视,http://960.x3322.net:4000/udp/239.120.1.151:8964
吉林卫视,http://960.x3322.net:4000/udp/239.120.2.26:5141
广西卫视,http://960.x3322.net:4000/udp/239.120.1.155:8988
广西卫视,http://960.x3322.net:4000/udp/239.120.2.5:5141
贵州卫视,http://960.x3322.net:4000/udp/239.120.1.142:8910
贵州卫视,http://960.x3322.net:4000/udp/239.120.2.18:5141
深圳卫视,http://960.x3322.net:4000/udp/239.120.1.137:8880
深圳卫视,http://960.x3322.net:4000/udp/239.120.2.197:5141
甘肃卫视,http://960.x3322.net:4000/udp/239.120.1.118:8700
甘肃卫视,http://960.x3322.net:4000/udp/239.120.2.16:5141
河北卫视,http://960.x3322.net:4000/udp/239.120.1.212:9300
河北卫视,http://960.x3322.net:4000/udp/239.120.2.12:5141
山东卫视,http://960.x3322.net:4000/udp/239.120.1.211:9294
山东卫视,http://960.x3322.net:4000/udp/239.120.2.219:5141
天津卫视,http://960.x3322.net:4000/udp/239.120.1.233:9514
天津卫视,http://960.x3322.net:4000/udp/239.120.2.196:5141
东南卫视,http://960.x3322.net:4000/udp/239.120.1.232:9372
东南卫视,http://960.x3322.net:4000/udp/239.120.2.195:5141
安徽卫视,http://960.x3322.net:4000/udp/239.120.1.226:9348
安徽卫视,http://960.x3322.net:4000/udp/239.120.2.187:5141
江西卫视,http://960.x3322.net:4000/udp/239.120.1.228:9356
江西卫视,http://960.x3322.net:4000/udp/239.120.2.194:5141
辽宁卫视,http://960.x3322.net:4000/udp/239.120.1.229:9360
辽宁卫视,http://960.x3322.net:4000/udp/239.120.2.189:5141
CETV-1,http://960.x3322.net:4000/udp/239.120.1.133:8856
CETV-1,http://960.x3322.net:4000/udp/239.120.2.54:5141
CETV-1,http://960.x3322.net:4000/udp/239.120.2.67:5141
CETV-4,http://960.x3322.net:4000/udp/239.120.1.45:8244
CETV-4,http://960.x3322.net:4000/udp/239.120.2.69:5141
CETV-4,http://960.x3322.net:4000/udp/239.120.2.71:5141
纪实人文,http://960.x3322.net:4000/udp/239.120.1.177:8272
纪实人文,http://960.x3322.net:4000/udp/239.120.2.98:5141
纪实人文,http://960.x3322.net:4000/udp/239.120.2.72:5141
纪实科教,http://960.x3322.net:4000/udp/239.120.1.110:8250
纪实科教,http://960.x3322.net:4000/udp/239.120.1.132:8354
纪实科教,http://960.x3322.net:4000/udp/239.120.2.65:5141
纪实,http://960.x3322.net:4000/udp/239.120.2.231:5141
金鹰纪实,http://960.x3322.net:4000/udp/239.120.1.73:8412
金鹰纪实,http://960.x3322.net:4000/udp/239.120.1.111:8254
金鹰纪实,http://960.x3322.net:4000/udp/239.120.2.36:5141
金鹰纪实,http://960.x3322.net:4000/udp/239.120.2.46:5141
东方财经,http://960.x3322.net:4000/udp/239.120.1.55:8304
东方财经,http://960.x3322.net:4000/udp/239.120.2.73:5141
东方财经,http://960.x3322.net:4000/udp/239.120.2.77:5141
河南都市,https://epg.pw/stream/8f0e86ddcbf0b266ab9843e50d18869b96ceb1bad9222c0d7f9b1eb609e42ad8.m3u8
